日期,总资产,总现金,可用现金,持仓市值,基准_000300.SH
2024-11-15,50000,50000,50000,0,4039.62
2024-11-18,50000,50000,50000,0,3968.83
2024-11-19,50000,50000,50000,0,3950.38
2024-11-20,50000,50000,50000,0,3976.89
2024-11-21,50000,50000,50000,0,3985.77
2024-11-22,50000,50000,50000,0,3989.3
2024-11-25,50000,50000,50000,0,3865.7
2024-11-26,50000,50000,50000,0,3848.09
2024-11-27,50000,50000,50000,0,3840.18
2024-11-28,50000,50000,50000,0,3907.04
2024-11-29,50000,50000,50000,0,3872.55
2024-12-02,50000,50000,50000,0,3916.58
2024-12-03,50000,50000,50000,0,3947.63
2024-12-04,50000,50000,50000,0,3951.89
2024-12-05,50000,50000,50000,0,3930.56
2024-12-06,50000,50000,50000,0,3921.59
2024-12-09,50000,50000,50000,0,3973.14
2024-12-10,50000,50000,50000,0,3966.57
2024-12-11,50000,50000,50000,0,3995.64
2024-12-12,50000,50000,50000,0,3988.83
2024-12-13,50000,50000,50000,0,4028.5
2024-12-16,50000,50000,50000,0,3933.18
2024-12-17,50000,50000,50000,0,3911.84
2024-12-18,50000,50000,50000,0,3922.03
2024-12-19,50000,50000,50000,0,3941.89
2024-12-20,50000,50000,50000,0,3945.46
2024-12-23,50000,50000,50000,0,3927.74
2024-12-24,50000,50000,50000,0,3933.57
2024-12-25,50000,50000,50000,0,3983.69
2024-12-26,50000,50000,50000,0,3985.63
2024-12-27,50000,50000,50000,0,3987.48
2024-12-30,50000,50000,50000,0,3981.03
2024-12-31,50000,50000,50000,0,3999.05
